1,3,5,7,9,11,13,15,17,19,21,23,25,27,29,31,33,35,37,39,41,43,45,47,49,51,53,55,57,59,61,63,65,67,69,71,73,75,77,79,81,83,85,87,89,91,93,95,97,99,101,103,105,107,109,111,113,115,117,119,121,123,125,127,129,131,133,135,137,139,141,143,145,147,149,151,153,155,157,159,161,163,165,167,169,171,173,175,177,179,181,183,185,187,189,191,193,195,197,199,
0.0143139,0.00930725,0.00849447,0.00637235,0.00737372,0.00769403,0.00585385,0.00578068,0.00601684,0.00565634,0.00609963,0.00626857,0.00574639,0.00587859,0.00562539,0.00578991,0.00610426,0.0059082,0.00573917,0.0057079,0.00584517,0.00573473,0.00586952,0.00625864,0.00621999,0.00572783,0.00578876,0.00560608,0.00581384,0.00565491,0.00638198,0.00586004,0.00581029,0.00598227,0.0094233,0.00687789,0.00634005,0.0060982,0.00625884,0.00625055,0.00645434,0.00750298,0.00799078,0.00723869,0.0056538,0.00584065,0.00606079,0.00719648,0.00563788,0.00640081,0.0056099,0.00586953,0.00566505,0.00583191,0.005651,0.0058132,0.0058308,0.0061753,0.00583911,0.00641683,0.00579559,0.00584565,0.00628176,0.00594962,0.00574173,0.00608107,0.00671917,0.00616966,0.00612487,0.00604498,0.00584982,0.00591324,0.00614732,0.00583754,0.00598352,0.0059029,0.00597906,0.00669439,0.00677488,0.00796535,0.00638305,0.00629858,0.00582744,0.00646886,0.00601381,0.00672696,0.00649001,0.00635593,0.0062246,0.00608826,0.00709557,0.0058285,0.00585197,0.00690758,0.00671102,0.00614953,0.0070512,0.00650081,0.00666424,0.00704284,
0.0119049,0.0059982,0.0110752,0.00712288,0.00645145,0.00644061,0.00578213,0.00596,0.00591276,0.00590131,0.00637783,0.00703047,0.00585644,0.00562447,0.00631936,0.00596367,0.0061828,0.00639195,0.00576834,0.00618287,0.00633013,0.00598263,0.00627603,0.00680549,0.00645754,0.00585398,0.0071068,0.00578747,0.00572517,0.00643123,0.0059033,0.00589261,0.00642702,0.00576571,0.00794924,0.00713434,0.00683853,0.00639157,0.00632702,0.00676767,0.00737804,0.00803026,0.00790844,0.0071945,0.00588353,0.00631165,0.00711974,0.00681007,0.0062701,0.00651296,0.00636725,0.00647696,0.00589301,0.0066198,0.00572343,0.00631392,0.00569917,0.00707652,0.00573116,0.00656169,0.00634447,0.00635182,0.00598291,0.00633227,0.00578858,0.00647775,0.00600515,0.00674465,0.00577013,0.00690463,0.00636414,0.00638695,0.00637033,0.00652437,0.00623881,0.00777389,0.00611373,0.00641982,0.00612283,0.00708208,0.00579214,0.00627594,0.00587968,0.00587828,0.00613042,0.00603804,0.00593369,0.00625916,0.00687153,0.00614811,0.00645449,0.00776387,0.00652283,0.00604648,0.00737943,0.00609251,0.00649515,0.00699652,0.00664291,0.0068464,
0.010738,0.00594133,0.00959584,0.00766721,0.00564913,0.00607842,0.00580619,0.00583062,0.0057189,0.00585867,0.00613673,0.00682756,0.00592674,0.00574366,0.00571865,0.00584776,0.00572784,0.00701867,0.00581622,0.00572147,0.00561849,0.0058628,0.00583798,0.00639738,0.00608263,0.00579481,0.00558209,0.00579219,0.00583347,0.00560657,0.00577207,0.00576754,0.00739784,0.00639438,0.00792333,0.00631474,0.00707491,0.00579605,0.00585899,0.00589795,0.00729131,0.00700571,0.00635204,0.00836246,0.00595293,0.00569308,0.00654894,0.00627374,0.00596291,0.00581525,0.00576428,0.00566409,0.00586502,0.00571427,0.005941,0.00609864,0.00571852,0.0063115,0.00577318,0.00579822,0.0077045,0.00562926,0.00629855,0.00598159,0.00613362,0.00578035,0.00585916,0.00576493,0.00680445,0.0061985,0.00891097,0.00586623,0.00582932,0.00700645,0.00757712,0.006557,0.00632532,0.00575986,0.0061234,0.00750088,0.00707389,0.00620907,0.00620825,0.00599898,0.00604378,0.00686387,0.00580129,0.00592354,0.00598242,0.0057561,0.00651512,0.00610964,0.00598456,0.00638314,0.00610756,0.00601859,0.00717229,0.00686535,0.00653558,0.00720471,
0.0102341,0.00589063,0.00773863,0.0150748,0.00570183,0.0061314,0.00560292,0.00575332,0.0059124,0.00723184,0.00647993,0.00604046,0.00590112,0.00583297,0.0055551,0.00574985,0.00577185,0.00739107,0.00570686,0.00570571,0.0056273,0.00651673,0.00607388,0.00576276,0.00652164,0.00612602,0.00574103,0.00577293,0.00594005,0.00568599,0.00571727,0.00579126,0.00932625,0.0102441,0.00899784,0.00602938,0.00713546,0.00988855,0.00627562,0.00676333,0.00874195,0.0072479,0.00836031,0.0062931,0.00603392,0.00595564,0.00629384,0.00581995,0.00584266,0.00590454,0.00614249,0.00561759,0.00572628,0.0061957,0.0057203,0.00575809,0.00582164,0.00674487,0.00605776,0.00633095,0.0060646,0.005763,0.00588198,0.00566371,0.00581135,0.00567543,0.00579953,0.0058843,0.0059541,0.00591329,0.00675004,0.00845033,0.00619808,0.00578712,0.00681414,0.00616466,0.00593196,0.00583375,0.00701355,0.00759784,0.00583522,0.00641761,0.00586831,0.00596107,0.00579685,0.00600785,0.00614047,0.00594242,0.00592883,0.00620334,0.00602761,0.00659107,0.0061914,0.00584186,0.00629571,0.00598019,0.00660938,0.00715376,0.00647919,0.00777688,
0.0111056,0.00597577,0.00927261,0.00970786,0.00606664,0.00708685,0.00584598,0.00580519,0.00569165,0.00639936,0.0072266,0.0061702,0.00597377,0.00600684,0.00568538,0.00576245,0.00584615,0.00634341,0.00589606,0.00574206,0.00600436,0.00649162,0.00612459,0.00583964,0.00601859,0.00584841,0.00562365,0.00583913,0.00564258,0.00560339,0.00574734,0.0056813,0.00676296,0.00828225,0.00853127,0.00715293,0.0064208,0.00665253,0.00597312,0.00648463,0.00671421,0.00945279,0.00740076,0.00635482,0.00583602,0.00578895,0.00999673,0.00586339,0.00606707,0.00585278,0.0058118,0.00590002,0.00592406,0.00570314,0.00571002,0.00571965,0.00605123,0.00839074,0.00579103,0.00639841,0.0072342,0.00631258,0.00642469,0.00592312,0.00576117,0.0057237,0.00594482,0.00572159,0.00574089,0.00593149,0.00857448,0.00630751,0.00595562,0.00624237,0.00603024,0.00859399,0.00682648,0.00684344,0.00624251,0.00652404,0.00592418,0.00590957,0.00587961,0.00578253,0.00591014,0.00588873,0.00602265,0.00579308,0.0058584,0.00578341,0.00586238,0.0058579,0.00599173,0.00588275,0.00595962,0.00667856,0.00652525,0.00660552,0.00641477,0.00817639,
0.0104766,0.00604582,0.0085768,0.0120422,0.00680944,0.00595591,0.00585127,0.00573683,0.00571614,0.00610004,0.00684155,0.00695304,0.00631985,0.00581995,0.0058519,0.00602699,0.00588745,0.00584983,0.00569366,0.00589162,0.00573314,0.00594167,0.00616294,0.00569346,0.0062221,0.00586237,0.00600285,0.00570158,0.00572205,0.00562424,0.0057113,0.00860684,0.00599943,0.00811691,0.00692254,0.006049,0.00647787,0.00589247,0.00590679,0.00651695,0.00758428,0.00716797,0.0102559,0.00582723,0.00590263,0.00572947,0.00644736,0.00592666,0.00576774,0.00595901,0.00599783,0.00562317,0.00571789,0.00563201,0.0057324,0.00642557,0.00577708,0.0061565,0.00582255,0.00593349,0.00623549,0.00626596,0.00647122,0.00606267,0.00689652,0.00584124,0.00580317,0.00571771,0.00581518,0.00636689,0.00724659,0.00597458,0.00573988,0.00576211,0.00595781,0.00587749,0.00608519,0.00737652,0.00667124,0.00658813,0.00603131,0.00575296,0.00633082,0.00690865,0.00588659,0.00587915,0.00579372,0.00609257,0.00688301,0.00583926,0.00693323,0.00616888,0.00624653,0.00694701,0.00600581,0.00615091,0.00718571,0.00655685,0.00685391,0.00713424,
0.0102426,0.00721979,0.00758825,0.0104554,0.00738454,0.00624825,0.00577302,0.005697,0.00588644,0.00697386,0.00725427,0.00627135,0.00581888,0.00573189,0.00560685,0.00604928,0.0060689,0.00570739,0.00575314,0.00570562,0.00563401,0.00619342,0.00901857,0.00609422,0.00582408,0.00601835,0.00567688,0.00570859,0.00575607,0.00561521,0.00604714,0.00801096,0.00596067,0.00650604,0.00817448,0.00602222,0.00646596,0.00631836,0.00656479,0.00669395,0.0113037,0.00685396,0.0102844,0.00582409,0.00587963,0.00586257,0.00904439,0.00591478,0.00589814,0.00580849,0.00594224,0.00598158,0.00578449,0.00602154,0.00605441,0.00636361,0.00579452,0.00591401,0.0061438,0.00689543,0.00648255,0.00619973,0.00720557,0.00569929,0.00572728,0.0056857,0.00602456,0.00579137,0.00579891,0.00604248,0.00747249,0.0057223,0.00576512,0.00572792,0.00630819,0.00591186,0.00602634,0.00640617,0.00595262,0.00639103,0.00611345,0.00618873,0.00600297,0.00576941,0.00598353,0.0066984,0.00604019,0.00577317,0.00600517,0.00647112,0.0058164,0.00590821,0.00606379,0.00592526,0.00680224,0.00602684,0.0066955,0.00741387,0.00660654,0.0110113,
0.00995553,0.00617597,0.00878696,0.0105326,0.0107612,0.00657577,0.00586565,0.00612128,0.00564762,0.00706061,0.00778723,0.00683641,0.00574563,0.0061398,0.00596239,0.00595614,0.00587435,0.00571597,0.00578258,0.00570583,0.00567925,0.00576564,0.00652731,0.00561414,0.00605409,0.0059849,0.00569478,0.00577003,0.00571472,0.00572507,0.00592092,0.00797618,0.00604072,0.00956192,0.00904055,0.00597661,0.00637423,0.00600228,0.00614549,0.0096865,0.0100803,0.00814587,0.00741572,0.00583512,0.00595743,0.0056391,0.00695086,0.00644634,0.00589389,0.00652464,0.00599141,0.00562965,0.00575041,0.00566235,0.00653524,0.00611044,0.00577437,0.00588239,0.00573707,0.00591542,0.0060036,0.00605196,0.00633809,0.00591422,0.00589892,0.00568452,0.00580411,0.00579443,0.00601124,0.00727832,0.00621836,0.00568489,0.006068,0.00623656,0.00685658,0.0072145,0.00694202,0.00621197,0.00582601,0.00632247,0.00586006,0.0060167,0.00591445,0.00603337,0.0058469,0.00604146,0.00666359,0.0061346,0.00606856,0.00591386,0.0063909,0.00577146,0.00598254,0.00666193,0.00617954,0.00605534,0.00660315,0.0066291,0.00669926,0.00920101,
0.00986125,0.00617513,0.00712378,0.00919916,0.00884852,0.0067474,0.00584645,0.00573088,0.00586432,0.00692718,0.00658274,0.00611817,0.00574288,0.00587925,0.0055552,0.00584181,0.00603263,0.00616949,0.0057099,0.00568703,0.00561697,0.00586991,0.00599062,0.00562153,0.00634455,0.00629279,0.00559404,0.00576486,0.00577746,0.00577374,0.00586034,0.00815484,0.00624076,0.0104211,0.00914481,0.00587169,0.0073207,0.00778223,0.00598047,0.0067415,0.00828339,0.0148348,0.0087125,0.0058778,0.00579627,0.00565699,0.0087624,0.00930448,0.00578218,0.00607657,0.00579317,0.00575091,0.00580577,0.00569336,0.00623835,0.00611757,0.00579489,0.00586288,0.00607015,0.00615536,0.0062379,0.00598643,0.0059087,0.00632918,0.00645129,0.00604468,0.00608711,0.00572062,0.00584747,0.00643873,0.00573205,0.00583282,0.00674742,0.00576164,0.00623526,0.00640746,0.00639142,0.0058971,0.00692923,0.00737097,0.00609796,0.00593329,0.00645651,0.00600088,0.0058583,0.0070977,0.0059913,0.00595116,0.00614043,0.00585265,0.00605837,0.00757839,0.0060431,0.00612915,0.00625177,0.00630689,0.00689781,0.0066874,0.00642203,0.00718854,
0.0098904,0.00608561,0.00821959,0.0103273,0.0075817,0.0062326,0.00593702,0.00592971,0.00579293,0.00633597,0.00655236,0.00672672,0.00615734,0.00612785,0.00555698,0.00575773,0.00628521,0.00568263,0.00569283,0.00576808,0.00564156,0.00810011,0.00611095,0.00565836,0.00767947,0.0063262,0.00560835,0.00579886,0.00589289,0.0057501,0.0057343,0.00830647,0.00774607,0.00830722,0.00925854,0.00587539,0.00614404,0.0111445,0.00670406,0.00622417,0.00832413,0.0104592,0.00651537,0.00580665,0.00602702,0.0065574,0.0092427,0.00609651,0.00582302,0.00566034,0.00598617,0.00570108,0.00583475,0.00576891,0.00609118,0.00570173,0.00578466,0.00591812,0.00609449,0.00577857,0.00624284,0.00582029,0.00576263,0.00569658,0.00577868,0.00728803,0.00577439,0.00591213,0.00574244,0.0061989,0.00586956,0.00571967,0.00637815,0.00601954,0.00588804,0.00581682,0.00581363,0.00586221,0.00592129,0.00778321,0.00600435,0.00635012,0.00581203,0.0057745,0.00594083,0.00600284,0.00582901,0.00594272,0.00611715,0.00581273,0.00682734,0.0101111,0.00587626,0.00622121,0.00589652,0.00745458,0.00758,0.00672294,0.00655876,0.0102978,
