0,1,2,3,4,5,
0.012918,0.0637582,927.194,436.969,0.115968,0.080736,
0.0128306,0.0651183,906.931,434.946,0.116608,0.079456,
0.0187216,0.0628791,911.099,434.946,0.116352,0.0792,
0.012716,0.0655351,911.098,436.964,0.116192,0.079488,
0.0101155,0.0641219,906.925,436.965,0.115744,0.078688,
0.0102065,0.0625634,906.925,434.945,0.116992,0.079552,
0.0100225,0.0651773,911.097,434.947,0.116512,0.079776,
0.0101328,0.0633796,911.098,436.966,0.11664,0.080096,
0.0101994,0.062748,906.924,436.967,0.116,0.079872,
0.0101907,0.0638655,906.929,434.946,0.117152,0.07936,
0.00999112,0.0628689,911.096,434.948,0.11584,0.08,
0.0110319,0.0637822,911.098,436.963,0.11664,0.078976,
0.0100611,0.0647545,906.93,436.965,0.116032,0.079648,
0.0103376,0.0626141,906.932,434.946,0.117248,0.117248,
0.00998912,0.0656533,911.098,434.944,0.116544,1.47917,
0.00998478,0.0634082,911.099,436.96,0.116256,0.07952,
0.0100371,0.063121,906.931,436.965,0.116864,0.079744,
0.0102239,0.0646325,906.933,434.945,0.115744,0.079328,
0.0101874,0.0638481,911.101,434.944,0.11504,0.080576,
0.0102626,0.0643344,911.103,436.966,0.115616,0.079104,
0.0101016,0.0726394,906.932,436.965,0.117408,0.080128,
0.010716,0.0720501,906.933,434.958,0.11616,0.07984,
0.0111433,0.0674109,911.102,434.947,0.116448,0.079232,
0.0102617,0.0649403,911.099,436.965,0.11584,0.079168,
0.00955783,0.0652205,906.93,436.972,0.115072,0.081056,
0.00979409,0.068243,906.937,434.946,0.115872,0.079392,
0.00956609,0.0662987,911.103,434.945,0.116384,0.079808,
0.00970157,0.0660226,911.103,436.966,0.118624,0.079456,
0.00941981,0.0639599,906.94,436.965,0.11616,0.079616,
