0,1,2,3,4,5,
0.0129748,0.0653342,924.581,436.97,0.116416,0.080896,
0.0130351,0.0636594,906.934,434.955,0.11712,0.079904,
0.0105321,0.066497,911.104,434.948,0.115392,0.079488,
0.0112647,0.073551,911.101,436.967,0.116544,0.079104,
0.011062,0.0727701,906.932,436.968,0.11568,0.079648,
0.0102966,0.0681533,906.935,434.947,0.123104,0.08,
0.010391,0.0664956,911.1,434.948,0.109088,0.080064,
0.00954597,0.0686471,911.103,436.967,0.108832,0.079968,
0.00990186,0.0713876,906.935,436.966,0.110944,0.079136,
0.00969979,0.0721809,906.934,434.946,0.110656,0.079648,
0.00959754,0.0682798,911.091,434.947,0.109568,0.080064,
0.0097861,0.0670205,911.103,436.97,0.116512,0.078784,
0.0094752,0.0681311,906.937,436.966,0.11952,0.075168,
0.00977912,0.0683093,906.941,434.946,0.116608,0.116608,
0.00944526,0.0682429,911.101,434.947,0.116384,1.47917,
0.0097692,0.0666848,911.098,436.969,0.11648,0.077248,
0.0112187,0.066355,906.936,436.966,0.11728,0.073248,
0.00992508,0.0684761,906.937,434.949,0.116704,0.073408,
0.00997798,0.0688898,911.103,434.946,0.116,0.080064,
0.00958575,0.0683606,911.096,436.968,0.116672,0.079104,
0.00970192,0.0668314,906.939,436.968,0.115808,0.080192,
0.0098173,0.0665869,906.939,434.947,0.116928,0.079968,
0.00967988,0.0694658,911.102,434.948,0.116064,0.080544,
0.00968663,0.0664669,911.101,436.967,0.117056,0.08,
0.00954628,0.0701077,906.936,436.965,0.116448,0.07984,
0.00986208,0.0811594,906.935,434.948,0.117056,0.080672,
0.0107126,0.0929952,911.099,434.949,0.116736,0.080064,
0.00939411,0.0834772,911.104,436.969,0.116704,0.080128,
0.00977758,0.077743,906.937,436.967,0.115744,0.080256,
