0,1,2,3,4,5,
0.458296,1.81861,26021.4,11961,11903.9,0,
0.453294,1.82607,26008.7,11904.6,11903.9,0,
0.456684,1.87315,26128.4,11904.2,11903.9,0,
0.453145,1.8109,26128.5,11961.4,11903.9,0,
0.458109,1.79788,26009,11961.4,11903.9,0,
0.451181,1.79842,26009.1,11903.8,11903.9,0,
0.462604,1.81306,26128.6,11904.6,11903.9,0,
0.453541,1.81095,26128.7,11961.5,11903.9,0,
0.460406,1.84101,26009.3,11961.4,11903.9,0,
0.454384,1.88903,26009.3,11904.2,11903.9,0,
0.456128,1.85124,26128.6,11903.8,11903.9,0,
0.457477,1.84775,26128.7,11961.8,11903.9,0,
0.45942,1.84382,26009.4,11961.4,11903.9,0,
0.455217,1.88546,26009.4,11904.1,11903.9,11903.9,
0.454946,1.96091,26128.7,11904.3,11903.9,0,
0.456199,1.91949,26128.7,11961.1,11903.9,0,
0.456089,1.92025,26009.4,11961.7,11903.9,0,
0.465305,1.88407,26009.5,11904.2,11903.9,0,
0.464029,1.89282,26128.7,11904.2,11903.9,0,
0.468566,1.88474,26128.8,11961.6,11903.9,0,
0.463951,1.86055,26009.5,11961,11903.9,0,
0.45585,1.87055,26009.5,11904.3,11903.9,0,
0.458196,1.95637,26128.7,11904.1,11903.9,0,
0.45727,1.90388,26128.8,11961.5,11903.9,0,
0.453206,1.90342,26009.6,11961.6,11903.9,0,
0.454389,1.91179,26009.6,11903.8,11903.9,0,
0.459562,1.89529,26128.8,11904.4,11903.9,0,
0.45473,1.92635,26128.8,11961.5,11903.9,0,
0.456754,1.87519,26009.6,11961.4,11903.9,0,
