0,1,2,3,4,5,
0.0140438,0.0664866,920.945,436.964,0.110432,0.080416,
0.0133588,0.0639796,906.921,434.943,0.115104,0.079424,
0.0120731,0.065605,911.096,434.944,0.11648,0.07968,
0.0102228,0.072591,911.095,436.978,0.110112,0.079328,
0.00948043,0.0865815,906.917,436.965,0.11968,0.079712,
0.00978801,0.0864787,906.917,434.944,0.116512,0.07968,
0.0107416,0.0924406,911.094,434.946,0.116288,0.079808,
0.00987624,0.0729601,911.094,436.965,0.116736,0.07888,
0.00956499,0.0635953,906.918,436.964,0.109056,0.07984,
0.00981076,0.0628745,906.922,434.943,0.11648,0.07936,
0.0103419,0.0640301,911.089,434.943,0.11408,0.079488,
0.0112308,0.0664575,911.098,436.966,0.127104,0.078944,
0.00958372,0.0691053,906.924,436.963,0.115872,0.079552,
0.00993602,0.0674445,906.926,434.951,0.112992,0.112992,
0.00950767,0.0633796,911.096,434.942,0.120416,0,
0.00966644,0.0637985,911.093,436.965,0.11584,0.082176,
0.0102905,0.0632314,906.921,436.964,0.116224,0.079712,
0.0108074,0.0630645,906.925,434.944,0.11968,0.078464,
0.00963789,0.0657174,911.091,434.946,0.116224,0.080096,
0.00977062,0.0636566,911.095,436.966,0.116896,0.07872,
0.00958821,0.0629018,906.926,436.964,0.112608,0.078496,
0.0095689,0.0672399,906.93,434.944,0.109568,0.079072,
0.00947172,0.0634078,911.094,434.945,0.116992,0.079232,
0.00952165,0.0627987,911.096,436.965,0.116928,0.079488,
0.00947263,0.0633512,906.924,436.964,0.115712,0.078944,
0.00945039,0.0635314,906.928,434.944,0.11648,0.07984,
0.0101352,0.0661855,911.094,434.946,0.115584,0.080448,
0.0103864,0.0653304,911.101,436.965,0.116896,0.079744,
0.00948198,0.0640689,906.941,436.964,0.116544,0.078912,
0,1,2,3,4,5,
0.0141287,0.0630969,919.368,436.965,0.124096,0.081504,
0.0204975,0.0642989,906.931,434.944,0.116352,0.079392,
0.0128654,0.0637677,911.097,434.943,0.11584,0.079264,
0.0111384,0.0653533,911.094,436.961,0.11712,0.089056,
0.00961066,0.0653742,906.918,436.966,0.11856,0.085856,
0.0094924,0.0703857,906.918,434.945,0.116224,0.079712,
0.0096171,0.0691611,911.099,434.946,0.11568,0.079392,
0.0097935,0.066287,911.098,436.964,0.117344,0.081216,
0.0096015,0.0696906,906.92,436.976,0.11648,0.07888,
0.00967917,0.0688567,906.921,434.945,0.116352,0.079232,
0.0108221,0.0691767,911.095,434.946,0.116384,0.079456,
0.00994515,0.0686694,911.1,436.965,0.116352,0.079392,
0.00980599,0.0722484,906.922,436.966,0.116,0.079776,
0.00944699,0.06856,906.924,434.945,0.115616,0.115616,
0.00948213,0.0664388,911.096,434.943,0.109376,0,
0.0127222,0.0643171,911.094,436.966,0.116544,0.07952,
0.0103871,0.0655691,906.921,436.965,0.116128,0.091296,
0.0103622,0.0845545,906.932,434.943,0.117056,0.078976,
0.0102027,0.0799266,911.095,434.945,0.115872,0.079616,
0.0103425,0.0717451,911.098,436.964,0.11712,0.078656,
0.0116794,0.0725403,906.928,436.964,0.116704,0.079904,
0.0107972,0.0667382,906.93,434.944,0.123808,0.079776,
0.0102976,0.0641614,911.097,434.943,0.116768,0.079264,
0.00980124,0.0652183,911.095,436.964,0.116,0.07952,
0.00964909,0.0661993,906.927,436.965,0.116608,0.080032,
0.00950902,0.0680997,906.93,434.944,0.116416,0.07952,
0.00966777,0.0756893,911.097,434.947,0.116384,0.078592,
0.00959652,0.0710009,911.101,436.966,0.12368,0.092,
0.00976873,0.0642346,906.934,436.965,0.116448,0.081696,
0,1,2,3,4,5,
0.0149049,0.0642711,922.043,436.965,0.115904,0.08032,
0.0127625,0.0642044,906.922,434.944,0.118144,0.080768,
0.0126934,0.0700746,911.097,434.944,0.11664,0.079424,
0.0179528,0.0657958,911.098,436.966,0.117056,0.080224,
0.0096148,0.0637893,906.917,436.964,0.115904,0.079328,
0.00949245,0.0643802,906.918,434.954,0.116832,0.078912,
0.00995718,0.0660453,911.098,434.944,0.115392,0.079392,
0.00975373,0.063938,911.102,436.966,0.1168,0.078912,
0.00954388,0.0654622,906.92,436.964,0.120224,0.078944,
0.00948909,0.0647198,906.919,434.945,0.116608,0.079136,
0.00944001,0.0632046,911.095,434.945,0.116448,0.079744,
0.00978919,0.0643925,911.097,436.964,0.116288,0.07952,
0.0100752,0.0650769,906.926,436.964,0.116992,0.080352,
0.0101888,0.0632003,906.925,434.944,0.116,0.116,
0.00962532,0.0676878,911.093,434.944,0.114528,1.47917,
0.0096475,0.0639003,911.092,436.967,0.116192,0.079328,
0.00979471,0.0649557,906.923,436.958,0.116768,0.079808,
0.00969103,0.0716753,906.927,434.942,0.116576,0.079872,
0.0095175,0.0648988,911.094,434.954,0.115392,0.078304,
0.009603,0.0649962,911.098,436.967,0.11664,0.078688,
0.00950681,0.065408,906.928,436.958,0.115776,0.078912,
0.00963571,0.0655169,906.929,434.946,0.116512,0.080064,
0.00958425,0.0659676,911.099,434.945,0.116416,0.079136,
0.0105574,0.0641811,911.097,436.965,0.121952,0.07888,
0.00950849,0.0636204,906.93,436.963,0.115872,0.080704,
0.0115412,0.0634625,906.93,434.948,0.116096,0.079232,
0.00973944,0.0634414,911.097,434.946,0.117024,0.079552,
0.0100532,0.0629089,911.101,436.967,0.115616,0.079552,
