0,1,2,3,4,5,
0.0143176,0.0668643,920.918,436.966,0.11616,0.08096,
0.013328,0.0636646,906.917,434.943,0.115488,0.08016,
0.0127669,0.0630725,911.083,434.943,0.116416,0.080224,
0.0115281,0.0659016,911.085,436.965,0.116832,0.080192,
0.010593,0.063117,906.911,436.965,0.116288,0.078816,
0.00966323,0.0633669,906.913,434.942,0.115904,0.080512,
0.00964143,0.0634669,911.093,434.941,0.116096,0.080128,
0.00970686,0.0631797,911.087,436.962,0.116352,0.079936,
0.00958943,0.0634162,906.914,436.963,0.116224,0.078944,
0.00964376,0.0636679,906.924,434.943,0.116064,0.078752,
0.0100301,0.0629635,911.086,434.945,0.109984,0.079872,
0.00972665,0.0633691,911.086,436.965,0.1096,0.079456,
0.00993971,0.0649199,906.918,436.967,0.109856,0.079264,
0.00967237,0.0687044,906.919,434.943,0.113568,0.113568,
0.0108343,0.0653105,911.088,434.943,0.110144,0,
0.0100596,0.0635109,911.092,436.964,0.114752,0.07968,
0.00952105,0.0674908,906.918,436.962,0.114848,0.079264,
0.00953311,0.0769689,906.921,434.944,0.115392,0.079712,
0.0162225,0.0728426,911.096,434.944,0.114784,0.079456,
0.0105512,0.0773348,911.097,436.965,0.111616,0.080064,
0.0104237,0.0777897,906.92,436.967,0.117728,0.079168,
0.010249,0.0709311,906.928,434.944,0.10976,0.079712,
0.0101239,0.063389,911.091,434.946,0.116992,0.079808,
0.0106753,0.063523,911.096,436.964,0.116384,0.080384,
0.00986902,0.0637441,906.921,436.966,0.116608,0.079744,
0.00960866,0.0686259,906.925,434.943,0.116512,0.075584,
0.00972783,0.0683002,911.097,434.942,0.117056,0.080032,
0.00959113,0.0698188,911.096,436.964,0.116032,0.079616,
0.00948541,0.06655,906.926,436.965,0.116448,0.079616,
